#CIF        Band Gap(eV)   Signal(nm)   Birefringence    Crystal-Type           ThetaOpt   Phi      deff_max (pm/V)         Photon Count              Correlation time (s)
SOMNUG	    2.788          1064         0.467967         Negative_biaxial       120.6      177.1    0.00505022994183        18.313612451977082        2.6313057170670513e-14                        
RATDAS01    4.3819         1064         0.065517         Positive_biaxial       142.5      29.8     0.53316793161110        1006564.7855651747        1.2746053726735566e-14  
TAKRIJ      4.4618         1064         0.103344         Positive_biaxial       148.1      338.0    0.08416187015198        22835.215205646913        1.189180927699371e-14   
FIPWUY      4.1972         1064         0.11763          Negative_biaxial       64.5       13.7     0.15964777729167        86000.49081213838         1.4152839342898425e-14  
LASPZN      3.6932         1064         0.116003         Positive_biaxial       19.2       0.0      0.33126446770982        322635.29067439656        1.3042205742355505e-14  
FIRZIP      3.3416         1064         0.042418         Positive_biaxial       121.7      108.7    0.42061838001684        336751.62030536094        1.6616132395908095e-14  
PODREH      2.6703         1064         0.281448         Negative_biaxial       121.5      1.4      0.53147913934871        212621.6936703755         2.3644282051186357e-14  
RUVBAN      3.2442         1064         0.325373         Negative_biaxial       67.7       354.7    1.00778933099832        911977.5889801148         2.3099132712272763e-14  
OFUWIV      5.0703         1064         0.144573         Positive_biaxial       28.2       202.2    0.81938175799046        2171966.2244418133        1.2626919399155551e-14  
MUYGOE      3.836          1064         0.092527         Negative_biaxial       147.3      178.2    0.83693763000578        2258803.2485436564        1.6259431943422858e-14  
NELWUY      4.4495         1064         0.038029         Negative_biaxial       110.0      154.6    0.53926603666427        1214304.4292685757        1.1642684674951054e-14  
AQOROP      2.3644         1064         0.64746          Negative_biaxial       48.6       0.0      10.4892784695390        70761681.10554732         2.7553988089646363e-14                                    
KOMMII      5.1303         1064         0.049593         Positive_biaxial       36.3       226.1    0.06551967852859        16628.97965764477         1.1777605160651684e-14  
MOFTIL      3.2545         1064         0.422805         Negative_biaxial       62.6       358.7    4.88406008028882        16125868.681747863        2.575896084296344e-14   
ECIWAO      2.2834         1064         0.372085         Positive_biaxial       113.2      358.1    94.454073407008         6660303554.1928           2.4869564972673185e-14  
IDOGIR      4.8648         1064         0.085226         Negative_biaxial       121.5      1.0      1.78078506789616        9122295.237250978         1.3006550894100266e-14  
RUBDOI      3.4187         1064         0.152196         Negative_biaxial       65.2       180.0    2.24513616109381        7547218.190142778         1.8885538375245643e-14  
SEYVIC      4.3136         1064         0.145177         Positive_biaxial       23.0       337.2    0.72320557905164        1575402.129790661         1.3723980949373697e-14  
ECIHIK      3.8375         1064         0.1442           Positive_biaxial       146.5      180.0    0.19643584784626        111671.611581492          1.3149656057772138e-14  
ODIVON      3.429          1064         0.1454           Negative_biaxial       110.2      201.4    0.59148515088850        454108.4765059279         1.996956576185379e-14   
WOVPAB      2.5401         1064         0.116            Negative-biaxial       126.1      210.8    1.01281774564634        1371815.0981369289        1.9760800718692356e-14   
DOYBEY      3.6675         1064         0.1116           Negative-biaxial       77.2       203.6    0.05634549521312        5772.5576108507275        1.8809265892876353e-14  
EWUSIZ      4.5544         1064         0.0916           Positive-biaxial       36.8       180.0    0.17085388023532        94074.41594249745         1.2809185306841995e-14  
JUKVEQ02    2.9487         1064         0.0808           Negative-biaxial       101.5      325.9    1.03176560545582        1739790.4948011788        1.9056188598533073e-14  
NIBRUN	    3.2788         1064         0.2134           Positive-biaxial       49.6       181.6    0.47065198034201        338349.0405652587         2.0376882620150143e-14  
NIBSAU	    3.277          1064         0.2158           Positive-biaxial       49.6       181.6    0.46868105583103        335521.2054896476         2.0376882620150218e-14   
VAHWOS01    3.2556         1064         0.6077           Positive-biaxial       134.0      181.0    1.01876349335164        1297705.283714066         1.8622586944051904e-14  
WOVPEF      2.9953         1064         0.0406           Negative-biaxial       90.0       252.9    0.47288105777854        308929.4402535517         1.8990696955033152e-14  
XISBUX      4.9015         1064         0.0729           Negative_biaxial       90.0       28.5     0.36691839963924        390091.52281743125        1.314669634826743e-14   
HONCOF      3.5635         1064         0.1477           Positive_biaxial       32.2       44.1     0.30066132012723        151086.564932452          1.7347745167826856e-14  
DIFKOS      5.1694         1064         0.0244           Positive_biaxial       51.3       231.3    0.06983026629012        34691.435591045505        1.7347745167826856e-14  
FEHJIN	    3.5443         1064         0.2034           Positive_biaxial       24.7       334.7    0.11825655503316        31305.83963496591         1.5036920463775634e-14  
VEKNEH      3.7591         1064         0.0924           Positive_biaxial       143.2      43.1     0.02292524127165        1173.1239251396248        1.5492978245625158e-14  
IVAZUA0     3.0381         1064         0.2284           Negative_biaxial       64.5       166.7    0.54677908040101        327583.23922178743        2.180508755448001e-14   
FIQGEW      3.0333         1064         0.3203           Negative_biaxial       66.9       162.5    1.00941966830026        659172.5685954276         2.8293192984295355e-14  
NUYWUA      3.2267         1064         0.1666           Positive_biaxial       28.6       163.6    0.07583563134684        9977.359674717345         1.8534417388619613e-14  
OXUNUR      2.6149         1064         0.3116           Negative_biaxial       111.8      17.3     0.17386615596875        29287.451823811636        2.311969791983941e-14   
VURQEF      3.2709         1064         0.2916           Negative-uniaxial      23.66      45.0     1.50572494216883e-6     3.253673595053737e-06     2.1113352482375125e-14 
DIXWAJ      3.3833         1064         0.0588           Negative-uniaxial      42.14      124      3.01572533723145e-6     2.510497849658977e-05     1.4460179251766585e-14
EGIKUB02    3.3028         1064         0.2115           Positive-uniaxial      27.52      175      0.00593438385348        38.175742917442655        2.1152281382757955e-14     
SAQFUM      3.5932         1064         0.0924           Negative-uniaxial      41.96      45       0.08839743151628        12212.123036382009        1.8139182079176888e-14
HUTZAX01    3.0568         1064         0.1065           Positive-uniaxial      48.312     120      1.18832729006033        2328782.828817297         2.1188241448093997e-14 
WUJFOW      4.7085         1064         0.0266           Negative-uniaxial      59.755     135      0.11028723899747        32920.2761064338          1.2167688427864732e-14
